## Membership and Registration:
|**Requirements** | **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|:------------------|:-----|:-------|:-----|:-----|
|Authenticated users can use the platform. Members, who are real people, form the community.|x|x|||
|Guests users can monitor the most popular upcoming public events,  recent events, what kind of services provided, basic offerings and what's going on at society.|x|x|x||
|Guests shall be able to search for services, events, members, locations.|x|x|x||
|Guests shall not be able to see members participating in the events.||x|||
|Guests shall not be able to attend public events accepting limited members.||x|||
|Guests shall not be able to officially attend public events accepting unlimited people.||x|||
|Guests shall see registration advice to the application.||x|||
|In order to be authenticated, users should follow a sign-up process.|x|||x|
|Sign-up process requires providing information below: These are mandatory fields, which needs to be filled before using service.|x|x|x||
|     - Valid email address and password|x|x|x||
|     - Username|x||x||
|     - First name|x|x|x||
|     - Last name|x|x|x||
|     - Mobile phone number.||x|||
|     - Personal interests and skills with information on "What do you know or good at?", "What would you like to learn or interested in?" |x|x|x||
|     - A short bio|x|x|||
|     - Location|x|x|x||
|Picture is an optional field, maybe beneficial for attacking users for your services, or getting service.|x||x||
|Members shall receive a verification email after registration.||x|||
|System shall not have any approval pending process which means everyone can join the community.|||x||
|Members will have 5 gift credits for the signup|x|||x|
|Members shall be able to log in by email and password.||x||x|
|Platform users are equal and from an idealistic community , so services offered has no superiority against each other, and users shall not be able to sell any products.|x||x||
|General morality rules are applied in system: no offensive arguments, no porn, no illegal service, no unethical behavior|x||x||
|Whenever user doesn't follow any of these rules, they are flagged as inappropriate. If there are more flags, admins can remove user from system.|x||x||
||||||
|"New Comers" to systems are promoted by reminders.|x|x|x||
|There are "Badges" for level of users. "Mentor" badged users interact with community, help "new comers" to make new friends.|x|x|x||
|Application shall keep personal data properly in accordance with KVKK||||x|
| **Below Requirements to be elicitated with PO** |||||
|Badges shall consist of Master Event Organizer, Great Mentor for Novices, Great Service Provider.||x|||
|Master Event Organizer badge shall be deserved after organizing 30+ events.||x|||
|Great Mentor for Novices badge shall be deserved after taking 10+ services from novice members.||x|||
|Great Service Provider badge shall be deserved after giving 30+ services and having reputation points 4/5.||x|||


## Administration of Platform:
|**Requirements** | **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|:------------------|:-----|:-------|:-----|:-----|
|A group of moderators will be assigned as admin at first.|x||||
|Administrator user shall view and modify information for all registered users, all offers and events created by users, view activities of other users.|||x|x|
|Admin, as a superuser, shall get a notification, in order to decide on removing a special service, if certain amount of people have flagged it illegal.|x||x||
|Admin shall remove a user from the community, in case offering an illegal service had been repeated by her/him.|||x|x|
|Admin shall be able to reset the users’s credit, in case the user keeps repeating not showing up to an activity which she/he was supposed to offer or take.|||x||
|Admin shall be able to send a ‘come to sense’ message to a user who has not shown up to her/his offered or taken activity.|||x||
|Admins shall be able to manually add a user in case there is a problem with her/his account.|||x||
|Admins shall be able to manually remove a user.|||x|x|
|Admins shall be able to solve the software related problems.|||x||
|Admins shall be able to see all the conflicts as well as private details of each user.|x||x||
|According to conflict resolution, users lose credits, or get bad reputation. A mechanism to report and admin is required.|x||||
|As 2nd version, delegation to some users is possible according to good-will.|x||||

## Features of System:
|**Platform Principles** | **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|:------------------|:-----|:-------|:-----|:-----|
|Platform will be a web application having frontend and backend. |x|x|x|x|
|System should be capable of giving service for millions of users. As prototype, capacity for fewer is ok.|x||||
|The community consists of members, their services, and events. Mutually providing and taking services, members maintain their existence in the community.||x|||
|The currency of the community is hour. Members begin their journey in the community with an initial amount of this currency. During their journey in the community, they spend their hours when they take service and they earn hours when they provide a service.|x|x||x|
|Community system shall compensate the half amount of the service cost for members who attend a newcomer's first two services.||AGREE|||
|A new member shall initially have 5 hours to take services (could be parametric, and be updated by admin as needed)|x|x|x|x|
|User can be only at one event at the same time (no double-booking)|x|x|x|x|
|Users shall only be able to offer services, whenever their credits had been reseted by the admin.|||x||
|Users shall not be able to request for joining an offered service in case they do not have enough credit.|x||x||
|Credit limit is max 15 hours, so credits can be between 0 to 15.|x|x|x|x|
